id,image_url,street_number,street_name,street_type,apt_number,city,state,zipcode,price,bedrooms,lat,long,walkscore,built,listing_url,neighborhood
62,http://photos1.zillowstatic.com/p_f/ISppo9s7oqhnfl0000000000.jpg,41-43,Vicksburg,St,,San Francisco,CA,94114,5300,3,37.754148,-122.428478,,1910,http://www.zillow.com/homedetails/41-43-Vicksburg-St-San-Francisco-CA-94114/15146587_zpid/,Eureka Valley - Dolores Heights - Castro
64,http://photos3.zillowstatic.com/p_f/IS9xv7k3iflqoq0000000000.jpg,1340,Mason,St,,San Francisco,CA,94133,9500,3,37.796,-122.412,,3000,http://www.zillow.com/homedetails/1340-Mason-St-San-Francisco-CA-94133/2125612839_zpid/,Nob Hill
67,http://photos2.zillowstatic.com/p_f/ISphi356cdfq7o1000000000.jpg,2101,Bryant,St,APT 105,San Francisco,CA,94110,3800,1,37.760366,-122.40995,,1919,http://www.zillow.com/homedetails/2101-Bryant-St-APT-105-San-Francisco-CA-94110/111711175_zpid/,Mission
68,"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.786620,-122.465770/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",2828,Bryant,St,,San Francisco,CA,94110,6500,3,37.749082,-122.409095,,1926,http://www.zillow.com/homedetails/2828-2830-Bryant-St-San-Francisco-CA-94110/15152935_zpid/,Mission
71,http://photos1.zillowstatic.com/p_f/ISx7oj0vuf6smx1000000000.jpg,1233,California,St,APT 310,San Francisco,CA,94109,3250,1,37.79104,-122.4146,,3000,http://www.zillow.com/homedetails/1233-California-St-APT-310-San-Francisco-CA-94109/2100640189_zpid/,Downtown
75,http://photos2.zillowstatic.com/p_f/ISdglro4j47hpc0000000000.jpg,900,Bush,St,APT 421,San Francisco,CA,94109,4500,2,37.789945,-122.412735,,1982,http://www.zillow.com/homedetails/900-Bush-St-APT-421-San-Francisco-CA-94109/15069045_zpid/,Downtown
76,"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.798990,-122.405630/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",234,Randall,St,,San Francisco,CA,94131,5900,3,37.74014,-122.4284,,1989,http://www.zillow.com/homedetails/234-Randall-St-San-Francisco-CA-94131/2100514573_zpid/,Glen Park
80,http://photos2.zillowstatic.com/p_f/IS5qr0dlp5rwb10000000000.jpg,2,Genoa,Pl,APT 8,San Francisco,CA,94133,3700,2,37.80097,-122.4063,,1907,http://www.zillow.com/homedetails/2-Genoa-Pl-APT-8-San-Francisco-CA-94133/2101745400_zpid/,Telegraph Hill
82,http://photos3.zillowstatic.com/p_f/ISh3mazn3w1p1k0000000000.jpg,3884,17th,St,,San Francisco,CA,94114,7200,2,37.7627,-122.4325,,1890,http://www.zillow.com/homedetails/3884-17th-St-San-Francisco-CA-94114/2103176816_zpid/,Eureka Valley - Dolores Heights - Castro
84,http://photos2.zillowstatic.com/p_f/IStomejc7ui4nt1000000000.jpg,1573,48th,Ave,APT 3,San Francisco,CA,94122,2950,2,37.757,-122.5082,,1975,http://www.zillow.com/homedetails/1573-48th-Ave-APT-3-San-Francisco-CA-94122/2115425786_zpid/,Outer Sunset
