image_url,street_number,street_name,street_type,apt_number,city,state,zipcode,price,bedrooms
http://photos2.zillowstatic.com/p_g/IShntdmc6llshv1000000000.jpg,142,Ellington,Ave,,San Francisco,CA,94112,4000,3
http://photos1.zillowstatic.com/p_g/ISxfig0vy76y850000000000.jpg,1207,32nd,Ave,,San Francisco,CA,94122,3695,3
http://photos3.zillowstatic.com/p_g/ISxv2jcrlxhl241000000000.jpg,254-256,Brighton,Ave,,San Francisco,CA,94112,4500,3
http://photos2.zillowstatic.com/p_g/ISt8iwd7racmbc0000000000.jpg,20,Rivas,Ave,,San Francisco,CA,94132,3650,2
http://photos3.zillowstatic.com/p_g/IShfbu4howpvaq0000000000.jpg,33,Dalewood,Way,,San Francisco,CA,94127,4750,3
"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.763360,-122.448116/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",,Mission,St,,San Francisco,CA,94105,4750,1
http://photos2.zillowstatic.com/p_g/IShf7vytly1dsl0000000000.jpg,956,Ashbury,St,,San Francisco,CA,94117,10800,5
http://photos3.zillowstatic.com/p_g/IStgk3n7cdv8os1000000000.jpg,946,S Van Ness,Ave,,San Francisco,CA,94110,8250,3
http://photos1.zillowstatic.com/p_g/ISxb3q2uveow8e0000000000.jpg,788,Minna,St,UNIT 501,San Francisco,CA,94103,3650,1
http://photos1.zillowstatic.com/p_g/IS1vk3l39z1oq80000000000.jpg,1327,7th,Ave,,San Francisco,CA,94122,4850,3
http://photos2.zillowstatic.com/p_g/IS1fs68wmbt7t41000000000.jpg,1057,Valencia,St,,San Francisco,CA,94110,3200,Studio
http://photos1.zillowstatic.com/p_g/ISp9cpnn0fadej0000000000.jpg,160,Santa Marina,St,,San Francisco,CA,94110,4600,2
http://photos1.zillowstatic.com/p_g/ISxb7huok7iez40000000000.jpg,1101,999 Pine,St,# 1101,San Francisco,CA,94108,3595,1
http://photos3.zillowstatic.com/p_g/IStg4v5sgxshvf0000000000.jpg,653,28th,St,,San Francisco,CA,94131,6000,3
